Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	0.0
Fast Node
High CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
315be79c86f4c213f2f34453fa3b44aa0fc961c4483271166869713951d23cb6	0	20	{0: 38, 1: 21, 2: 25, 3: 37, 4: 21, 5: 29, 6: 21, 7: 25, 8: 35, 9: 37, 10: 29, 11: 33, 12: 36, 13: 35, 14: 21, 15: 25, 16: 32, 17: 38, 18: 35, 19: 32}
76e014516c81a2f122e7ed11d5b8be5afabb176d2627b3e98072bc54a178fffc	56.11980993873076	763	{0: 17, 1: 111, 2: 28, 3: 10, 4: 37, 5: 27, 6: 37, 7: 27, 8: 24, 9: 68, 10: 63, 11: 5, 12: 20, 13: 11, 14: 67, 15: 34, 16: 3, 17: 31, 18: 32, 19: 3}
