Event type,Event start time,sender_node,receiver_node,current_node
TXN,0.032357671067790354,16,12,16
TXN,0.052961598741658004,16,11,16
TXN,0.056324492751849684,4,13,4
TXN,0.08632449275184968,4,13,5
TXN,0.10632449275184969,4,13,19
TXN,0.13100432965388623,18,5,18
TXN,0.13235767106779037,16,12,15
TXN,0.142961598741658,16,11,15
TXN,0.16632449275184968,4,13,2
TXN,0.17311498994897295,18,17,18
TXN,0.18235767106779036,16,12,4
TXN,0.1963244927518497,4,13,16
TXN,0.202961598741658,16,11,4
TXN,0.20632449275184966,4,13,13
TXN,0.2110043296538862,18,5,8
TXN,0.2110043296538862,18,5,13
TXN,0.22235767106779036,16,12,11
TXN,0.222961598741658,16,11,11
TXN,0.22632449275184968,4,13,12
TXN,0.24235767106779035,16,12,5
TXN,0.242961598741658,16,11,5
TXN,0.24311498994897296,18,17,13
TXN,0.24311498994897296,18,17,8
TXN,0.24398628730984315,8,17,8
TXN,0.2610043296538862,18,5,9
TXN,0.26235767106779034,16,12,19
TXN,0.26296159874165803,16,11,19
TXN,0.26632449275184966,4,13,9
TXN,0.273114989948973,18,17,9
TXN,0.27632449275184967,4,13,18
TXN,0.282961598741658,16,11,6
TXN,0.28398628730984316,8,17,9
TXN,0.2863244927518497,4,13,15
TXN,0.292961598741658,16,11,3
TXN,0.2963244927518497,4,13,3
TXN,0.30100432965388624,18,5,1
TXN,0.3023576710677904,16,12,3
TXN,0.30328915994938255,5,8,5
TXN,0.30632449275184964,4,13,8
TXN,0.3063244927518497,4,13,9
TXN,0.3063244927518497,4,13,9
TXN,0.3163244927518497,4,13,15
TXN,0.32235767106779034,16,12,6
TXN,0.32235767106779034,16,12,2
TXN,0.3229583110851692,10,15,10
TXN,0.32296159874165803,16,11,2
TXN,0.32328915994938257,5,8,19
TXN,0.32398628730984314,8,17,18
TXN,0.332961598741658,16,11,9
TXN,0.3363244927518497,4,13,11
TXN,0.34235767106779036,16,12,9
TXN,0.342961598741658,16,11,9
TXN,0.34311498994897294,18,17,9
TXN,0.3463244927518497,4,13,14
TXN,0.3463244927518497,4,13,8
TXN,0.35100432965388617,18,5,19
TXN,0.3516071569907316,6,12,6
TXN,0.35235767106779037,16,12,5
TXN,0.35235767106779037,16,12,9
TXN,0.3610043296538862,18,5,9
TXN,0.3610043296538862,18,5,14
TXN,0.3623576710677904,16,12,13
TXN,0.3623576710677904,16,12,9
TXN,0.3623576710677904,16,12,8
TXN,0.3623576710677904,16,12,5
TXN,0.362961598741658,16,11,12
TXN,0.362961598741658,16,11,13
TXN,0.362961598741658,16,11,5
TXN,0.362961598741658,16,11,9
TXN,0.36311498994897295,18,17,1
TXN,0.36311498994897295,18,17,19
TXN,0.36328915994938255,5,8,4
TXN,0.36398628730984317,8,17,19
TXN,0.3710043296538862,18,5,4
TXN,0.3710043296538862,18,5,5
TXN,0.3710043296538862,18,5,11
TXN,0.37235767106779033,16,12,12
TXN,0.37296159874165796,16,11,8
TXN,0.372961598741658,16,11,8
TXN,0.372961598741658,16,11,8
TXN,0.372961598741658,16,11,5
TXN,0.37632449275184965,4,13,14
TXN,0.37632449275184965,4,13,7
TXN,0.38235767106779034,16,12,8
