Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	1.0
Slow Node
High CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
df9d8e0f5476e990ff4f0b150776770abb746410bd2cc5583bd70a842bb924f7	594.4023607106451	1000	{0: 65, 1: 115, 2: 10, 3: 9, 4: 14, 5: 13, 6: 38, 7: 86, 8: 3, 9: 88, 10: 20, 11: 416, 12: 8, 13: 3, 14: 109, 15: 58, 16: 37, 17: 3, 18: 1, 19: 10}
80ac507c05db4e4585164d4de78ea2f537c652b3df90957b66345355bc8f96ac	638.5919297384117	1000	{0: 67, 1: 13, 2: 36, 3: 28, 4: 19, 5: 39, 6: 8, 7: 33, 8: 13, 9: 1, 10: 2, 11: 468, 12: 230, 13: 13, 14: 46, 15: 55, 16: 31, 17: 24, 18: 28, 19: 2}
ebf331a2b92c55f9bf52b21e5a7f013765cfd6252071cdd07b7db436433547fb	670.2101053900078	1000	{0: 6, 1: 116, 2: 41, 3: 26, 4: 23, 5: 33, 6: 52, 7: 27, 8: 56, 9: 15, 10: 65, 11: 380, 12: 7, 13: 111, 14: 3, 15: 59, 16: 84, 17: 27, 18: 52, 19: 23}
c38fb7d4cdc72cd6f2861c944b679c9a71ac098a011d177b6b1b60326a0e6715	718.437460533625	1000	{0: 32, 1: 14, 2: 119, 3: 81, 4: 23, 5: 119, 6: 9, 7: 38, 8: 12, 9: 18, 10: 28, 11: 326, 12: 98, 13: 6, 14: 30, 15: 14, 16: 79, 17: 44, 18: 111, 19: 55}
e6763c97987a01a9a593a4f0186b3661da48189a5183af43209e07c70e546cbd	797.0403726259264	1000	{0: 4, 1: 7, 2: 88, 3: 2, 4: 30, 5: 22, 6: 20, 7: 54, 8: 1, 9: 79, 10: 5, 11: 530, 12: 134, 13: 20, 14: 101, 15: 24, 16: 51, 17: 10, 18: 27, 19: 97}
e96a309027876c75f6eb7f233f26b6dc5577b0d12297b8f31a0b9a9b0d02fe0e	803.2320062326525	1000	{0: 3, 1: 8, 2: 35, 3: 1, 4: 94, 5: 18, 6: 4, 7: 0, 8: 73, 9: 43, 10: 43, 11: 419, 12: 375, 13: 22, 14: 43, 15: 85, 16: 10, 17: 31, 18: 15, 19: 34}
8b032bb23bf060a275df8a69826f5a6769e20eb4d2526251729baefc00488887	835.9336949721113	958	{0: 38, 1: 33, 2: 72, 3: 26, 4: 3, 5: 18, 6: 167, 7: 13, 8: 87, 9: 8, 10: 41, 11: 324, 12: 259, 13: 79, 14: 70, 15: 0, 16: 32, 17: 16, 18: 68, 19: 52}
3f5651ef07f32c7d80f1d9338ceeef84bcf51d64e4effb1a58adebad6d5b585f	923.6032290059734	1000	{0: 23, 1: 73, 2: 137, 3: 18, 4: 68, 5: 7, 6: 5, 7: 6, 8: 102, 9: 43, 10: 18, 11: 287, 12: 350, 13: 13, 14: 26, 15: 81, 16: 72, 17: 53, 18: 50, 19: 24}
ce625b97825e7a31ad3ab6dc37052a2ccdb12e824cf6c879887a3d59cb30e901	923.8856185010802	861	{0: 0, 1: 100, 2: 151, 3: 6, 4: 36, 5: 4, 6: 72, 7: 47, 8: 26, 9: 28, 10: 55, 11: 449, 12: 316, 13: 25, 14: 0, 15: 60, 16: 6, 17: 6, 18: 39, 19: 30}
6e7a64dc6d8226858c9b2bb4be10219cc8365ee0824dd596d2bde54819a935ab	925.0658770593102	478	{0: 16, 1: 16, 2: 145, 3: 66, 4: 32, 5: 6, 6: 49, 7: 20, 8: 20, 9: 24, 10: 25, 11: 214, 12: 502, 13: 5, 14: 101, 15: 133, 16: 2, 17: 13, 18: 100, 19: 17}
c5a57f14b58cae89fd2f6102f82d036ea728584c67cedbf167fbf6224c7500e0	988.2005090856073	1000	{0: 78, 1: 15, 2: 210, 3: 125, 4: 18, 5: 14, 6: 83, 7: 61, 8: 14, 9: 119, 10: 36, 11: 59, 12: 311, 13: 49, 14: 148, 15: 2, 16: 37, 17: 19, 18: 113, 19: 45}
