Event type,Event start time,sender_node,receiver_node,current_node
TXN,0.026771410670132768,7,0,7
TXN,0.03099738378196906,17,9,17
TXN,0.16099738378196907,17,9,18
TXN,0.17677141067013277,7,0,8
TXN,0.19099738378196907,17,9,15
TXN,0.20099738378196907,17,9,6
TXN,0.20259607803167207,7,1,7
TXN,0.23099738378196907,17,9,14
TXN,0.23450756114902474,16,14,16
TXN,0.24906498819809494,11,8,11
TXN,0.25099738378196906,17,9,3
TXN,0.2709973837819691,17,9,2
TXN,0.2767714106701328,7,0,5
TXN,0.28099738378196903,17,9,13
TXN,0.28099738378196903,17,9,9
TXN,0.2867714106701328,7,0,14
TXN,0.2867714106701328,7,0,14
TXN,0.29099738378196904,17,9,19
TXN,0.29371013156115505,5,11,5
TXN,0.2967714106701328,7,0,5
TXN,0.30292600628959965,4,9,4
TXN,0.3342264787128079,15,12,15
TXN,0.3409973837819691,17,9,11
TXN,0.3409973837819691,17,9,10
TXN,0.3409973837819691,17,9,8
TXN,0.35677141067013274,7,0,10
TXN,0.3567714106701328,7,0,4
TXN,0.3609973837819691,17,9,12
TXN,0.36906498819809497,11,8,9
TXN,0.37099738378196906,17,9,8
TXN,0.37099738378196906,17,9,1
TXN,0.37099738378196906,17,9,10
TXN,0.37677141067013276,7,0,18
TXN,0.38077897826722285,8,2,8
TXN,0.380997383781969,17,9,0
TXN,0.38099738378196907,17,9,5
TXN,0.38099738378196907,17,9,0
TXN,0.38259607803167206,7,1,8
TXN,0.38677141067013276,7,0,2
TXN,0.389064988198095,11,8,3
TXN,0.390997383781969,17,9,11
TXN,0.3937101315611551,5,11,8
TXN,0.39906498819809494,11,8,12
TXN,0.4007028996721911,8,3,8
TXN,0.40371013156115504,5,11,2
TXN,0.4067714106701328,7,0,2
TXN,0.409064988198095,11,8,2
TXN,0.41099738378196904,17,9,16
TXN,0.41099738378196904,17,9,1
TXN,0.41099738378196904,17,9,0
TXN,0.42371013156115506,5,11,3
TXN,0.4267714106701328,7,0,3
TXN,0.43068904606561476,5,1,5
TXN,0.43099738378196906,17,9,1
TXN,0.43099738378196906,17,9,12
TXN,0.4323029077290338,7,4,7
TXN,0.4325960780316721,7,1,14
TXN,0.4325960780316721,7,1,5
TXN,0.43677141067013275,7,0,3
TXN,0.43677141067013275,7,0,19
TXN,0.4367714106701328,7,0,0
TXN,0.4367714106701328,7,0,17
TXN,0.4367714106701328,7,0,0
TXN,0.4390649881980949,11,8,18
TXN,0.440997383781969,17,9,12
TXN,0.44099738378196907,17,9,0
TXN,0.44099738378196907,17,9,10
TXN,0.44099738378196907,17,9,5
TXN,0.44099738378196907,17,9,4
TXN,0.44677141067013276,7,0,16
TXN,0.450997383781969,17,9,0
TXN,0.45292600628959967,4,9,0
TXN,0.45371013156115503,5,11,9
TXN,0.45408304624562207,4,15,4
TXN,0.45532220409956903,11,18,11
TXN,0.4567714106701328,7,0,16
TXN,0.4567714106701328,7,0,9
TXN,0.4667714106701327,7,0,9
TXN,0.4667714106701328,7,0,1
TXN,0.4667714106701328,7,0,1
TXN,0.47099738378196904,17,9,4
TXN,0.4709973837819691,17,9,5
TXN,0.4709973837819691,17,9,7
TXN,0.4729260062895997,4,9,19
TXN,0.47677141067013273,7,0,3
TXN,0.4767714106701328,7,0,9
TXN,0.4767714106701328,7,0,0
TXN,0.4767714106701328,7,0,3
TXN,0.47906498819809495,11,8,18
TXN,0.4807789782672228,8,2,5
TXN,0.4809973837819691,17,9,16
TXN,0.4809973837819691,17,9,12
TXN,0.48259607803167204,7,1,5
TXN,0.4845075611490247,16,14,18
TXN,0.4845075611490247,16,14,6
TXN,0.49077897826722283,8,2,14
TXN,0.49259607803167205,7,1,14
TXN,0.4942264787128079,15,12,17
TXN,0.49677141067013275,7,0,4
TXN,0.5007028996721911,8,3,5
TXN,0.500997383781969,17,9,4
TXN,0.500997383781969,17,9,11
TXN,0.5009973837819691,17,9,7
TXN,0.5037101315611551,5,11,14
TXN,0.5045075611490247,16,14,8
TXN,0.5067714106701329,7,0,13
TXN,0.510997383781969,17,9,4
TXN,0.5137101315611551,5,11,18
TXN,0.5142264787128079,15,12,1
TXN,0.5167714106701328,7,0,13
TXN,0.5167714106701328,7,0,19
TXN,0.5167714106701328,7,0,4
TXN,0.5167714106701328,7,0,13
TXN,0.5190649881980949,11,8,19
TXN,0.519064988198095,11,8,5
TXN,0.5207028996721911,8,3,14
TXN,0.520997383781969,17,9,4
TXN,0.520997383781969,17,9,7
TXN,0.5225960780316721,7,1,4
TXN,0.5229260062895996,4,9,5
TXN,0.5237101315611551,5,11,4
TXN,0.5267714106701328,7,0,17
TXN,0.5267714106701328,7,0,17
TXN,0.5306890460656147,5,1,8
TXN,0.530997383781969,17,9,1
TXN,0.530997383781969,17,9,11
TXN,0.5329260062895996,4,9,15
TXN,0.5337101315611551,5,11,7
TXN,0.5358917690107201,17,0,17
TXN,0.5406890460656147,5,1,2
TXN,0.5407028996721911,8,3,7
TXN,0.5407789782672229,8,2,7
TXN,0.540997383781969,17,9,4
TXN,0.5425960780316721,7,1,2
TXN,0.5467714106701328,7,0,1
TXN,0.5467714106701328,7,0,19
TXN,0.5467714106701328,7,0,13
TXN,0.5490649881980949,11,8,6
TXN,0.553710131561155,5,11,7
TXN,0.5567714106701327,7,0,18
TXN,0.5567714106701327,7,0,3
TXN,0.5567714106701327,7,0,0
TXN,0.5567714106701328,7,0,12
TXN,0.5567714106701328,7,0,0
TXN,0.5606890460656148,5,1,3
TXN,0.5607789782672228,8,2,10
TXN,0.5609973837819691,17,9,7
TXN,0.5609973837819691,17,9,8
TXN,0.5629260062895997,4,9,10
TXN,0.5629260062895997,4,9,13
TXN,0.563710131561155,5,11,1
TXN,0.564226478712808,15,12,12
TXN,0.565322204099569,11,18,9
TXN,0.5667714106701327,7,0,11
TXN,0.5667714106701327,7,0,12
TXN,0.5667714106701328,7,0,1
TXN,0.5667714106701328,7,0,11
TXN,0.569064988198095,11,8,1
TXN,0.5709973837819691,17,9,19
TXN,0.5725960780316721,7,1,17
TXN,0.5729260062895997,4,9,19
TXN,0.573710131561155,5,11,0
TXN,0.573710131561155,5,11,11
TXN,0.573710131561155,5,11,12
TXN,0.5745075611490247,16,14,3
TXN,0.5767714106701327,7,0,17
TXN,0.5767714106701328,7,0,0
TXN,0.5790649881980949,11,8,10
TXN,0.5790649881980949,11,8,13
TXN,0.579064988198095,11,8,0
TXN,0.5807789782672228,8,2,18
TXN,0.5809973837819691,17,9,0
TXN,0.5823029077290338,7,4,8
TXN,0.5825960780316721,7,1,3
TXN,0.5825960780316721,7,1,0
TXN,0.5829260062895997,4,9,3
TXN,0.583710131561155,5,11,10
TXN,0.5840830462456221,4,15,0
TXN,0.584226478712808,15,12,4
TXN,0.585322204099569,11,18,12
TXN,0.5867714106701327,7,0,11
TXN,0.5867714106701328,7,0,15
TXN,0.5867714106701328,7,0,15
TXN,0.5867714106701328,7,0,6
TXN,0.5890649881980949,11,8,15
TXN,0.5890649881980949,11,8,15
TXN,0.5907789782672228,8,2,2
TXN,0.5909973837819691,17,9,4
TXN,0.592596078031672,7,1,18
TXN,0.592596078031672,7,1,10
TXN,0.592596078031672,7,1,2
TXN,0.5925960780316721,7,1,16
TXN,0.5929260062895997,4,9,12
TXN,0.5945075611490247,16,14,2
TXN,0.595322204099569,11,18,3
TXN,0.5967714106701327,7,0,11
TXN,0.5990649881980948,11,8,10
TXN,0.6009973837819691,17,9,4
TXN,0.6009973837819691,17,9,16
TXN,0.6025960780316721,7,1,9
TXN,0.6029260062895997,4,9,14
TXN,0.6029260062895997,4,9,9
TXN,0.6045075611490247,16,14,5
TXN,0.6045075611490247,16,14,13
TXN,0.6045075611490247,16,14,17
TXN,0.6067714106701327,7,0,12
TXN,0.610702899672191,8,3,2
TXN,0.6108160398987281,18,6,18
TXN,0.612596078031672,7,1,3
TXN,0.6125960780316722,7,1,1
TXN,0.6129260062895997,4,9,2
TXN,0.6137101315611551,5,11,10
TXN,0.6145075611490247,16,14,14
TXN,0.6145075611490247,16,14,13
TXN,0.6145075611490247,16,14,7
TXN,0.6167714106701327,7,0,3
TXN,0.6167714106701327,7,0,6
TXN,0.619064988198095,11,8,8
TXN,0.619064988198095,11,8,17
TXN,0.619064988198095,11,8,13
TXN,0.6209973837819691,17,9,10
TXN,0.6229260062895996,4,9,8
TXN,0.6229260062895997,4,9,2
TXN,0.6237101315611551,5,11,18
TXN,0.6242264787128079,15,12,18
TXN,0.6245075611490247,16,14,17
TXN,0.6267714106701328,7,0,0
TXN,0.6306890460656147,5,1,9
TXN,0.6307028996721911,8,3,10
TXN,0.6307028996721911,8,3,3
TXN,0.6307789782672228,8,2,3
TXN,0.6309973837819691,17,9,5
TXN,0.6309973837819691,17,9,8
TXN,0.6325960780316721,7,1,17
TXN,0.6325960780316721,7,1,9
TXN,0.6329260062895996,4,9,2
TXN,0.6329260062895996,4,9,7
TXN,0.6342264787128079,15,12,14
TXN,0.6345075611490247,16,14,9
TXN,0.635322204099569,11,18,18
TXN,0.6390649881980949,11,8,0
TXN,0.639064988198095,11,8,4
TXN,0.639064988198095,11,8,1
TXN,0.6406890460656147,5,1,18
TXN,0.6406890460656147,5,1,14
TXN,0.6407028996721911,8,3,9
TXN,0.6407789782672227,8,2,19
TXN,0.6407789782672229,8,2,0
TXN,0.6407789782672229,8,2,3
TXN,0.640997383781969,17,9,16
TXN,0.6409973837819691,17,9,7
