Event type,Event start time,sender_node,receiver_node,current_node
TXN,0.02340785569617813,11,1,11
TXN,0.11593069054913015,18,19,18
TXN,0.116631087265008,14,19,14
TXN,0.13185797967371343,15,7,15
TXN,0.1414249689977861,4,10,4
TXN,0.156631087265008,14,19,0
TXN,0.156631087265008,14,19,2
TXN,0.16223470105599289,10,12,10
TXN,0.17663108726500798,14,19,13
TXN,0.18593069054913014,18,19,16
TXN,0.19593069054913015,18,19,13
TXN,0.2022347010559929,10,12,9
TXN,0.206631087265008,14,19,13
TXN,0.20717415805776968,2,3,2
TXN,0.21593069054913014,18,19,0
TXN,0.216631087265008,14,19,3
TXN,0.22142496899778608,4,10,12
TXN,0.22717415805776967,2,3,14
TXN,0.23229893976627836,17,2,17
TXN,0.24185797967371342,15,7,4
TXN,0.2514249689977861,4,10,17
TXN,0.25593069054913015,18,19,2
TXN,0.25593069054913015,18,19,14
TXN,0.256631087265008,14,19,18
TXN,0.2614249689977861,4,10,7
TXN,0.26185797967371344,15,7,6
TXN,0.266631087265008,14,19,16
TXN,0.2671741580577697,2,3,0
TXN,0.27229893976627834,17,2,8
TXN,0.27340785569617815,11,1,14
TXN,0.27340785569617815,11,1,0
TXN,0.27593069054913016,18,19,14
TXN,0.276631087265008,14,19,18
TXN,0.28142496899778613,4,10,15
TXN,0.2871741580577697,2,3,13
TXN,0.2871741580577697,2,3,3
TXN,0.2871741580577697,2,3,13
TXN,0.2914249689977861,4,10,8
TXN,0.29340785569617817,11,1,13
TXN,0.296631087265008,14,19,9
TXN,0.296631087265008,14,19,17
TXN,0.3022347010559929,10,12,12
TXN,0.30229893976627836,17,2,6
TXN,0.30593069054913014,18,19,0
TXN,0.30593069054913014,18,19,10
TXN,0.3122347010559929,10,12,16
TXN,0.3122347010559929,10,12,3
TXN,0.31229893976627837,17,2,4
TXN,0.31340785569617813,11,1,0
TXN,0.31593069054913014,18,19,12
TXN,0.31593069054913014,18,19,3
TXN,0.316631087265008,14,19,12
TXN,0.316631087265008,14,19,16
TXN,0.316631087265008,14,19,7
TXN,0.316631087265008,14,19,10
TXN,0.32142496899778605,4,10,16
TXN,0.32142496899778605,4,10,9
TXN,0.3214249689977861,4,10,6
TXN,0.32593069054913015,18,19,5
TXN,0.32593069054913015,18,19,9
TXN,0.3296268543451343,16,19,16
TXN,0.33185797967371344,15,7,17
TXN,0.33340785569617815,11,1,2
TXN,0.33593069054913016,18,19,3
TXN,0.33663108726500796,14,19,8
TXN,0.34142496899778607,4,10,10
TXN,0.34142496899778607,4,10,1
TXN,0.34142496899778607,4,10,6
TXN,0.34185797967371345,15,7,12
TXN,0.34223470105599285,10,12,13
TXN,0.3422347010559929,10,12,16
TXN,0.346631087265008,14,19,16
TXN,0.346631087265008,14,19,10
TXN,0.3518579796737134,15,7,7
TXN,0.35185797967371346,15,7,13
TXN,0.35340785569617816,11,1,2
TXN,0.3559306905491301,18,19,8
TXN,0.3559306905491302,18,19,17
TXN,0.36223470105599287,10,12,0
TXN,0.36223470105599287,10,12,18
TXN,0.36658230024780164,6,13,6
TXN,0.366631087265008,14,19,11
TXN,0.366631087265008,14,19,10
TXN,0.366631087265008,14,19,6
TXN,0.3671741580577697,2,3,18
TXN,0.37142496899778604,4,10,18
TXN,0.3718579796737134,15,7,12
TXN,0.3718579796737135,15,7,0
TXN,0.3722347010559929,10,12,2
TXN,0.37229893976627837,17,2,0
TXN,0.37229893976627837,17,2,12
TXN,0.3734078556961782,11,1,18
TXN,0.376631087265008,14,19,10
TXN,0.37717415805776966,2,3,7
TXN,0.37962685434513427,16,19,18
TXN,0.38185797967371343,15,7,17
TXN,0.38185797967371343,15,7,18
TXN,0.3818579796737135,15,7,2
TXN,0.3822347010559929,10,12,14
TXN,0.38663108726500794,14,19,4
TXN,0.386631087265008,14,19,4
TXN,0.38717415805776967,2,3,18
TXN,0.3914249689977861,4,10,0
TXN,0.3922347010559929,10,12,4
TXN,0.3922989397662784,17,2,13
TXN,0.39340785569617814,11,1,16
TXN,0.39340785569617814,11,1,3
TXN,0.39663108726500795,14,19,15
TXN,0.39663108726500795,14,19,12
TXN,0.4018579796737134,15,7,16
TXN,0.40223470105599285,10,12,14
TXN,0.4022347010559929,10,12,7
TXN,0.40229893976627834,17,2,7
TXN,0.40663108726500796,14,19,11
TXN,0.4071741580577697,2,3,16
TXN,0.4071741580577697,2,3,17
TXN,0.4071741580577697,2,3,9
TXN,0.41142496899778613,4,10,6
TXN,0.41142496899778613,4,10,13
TXN,0.41142496899778613,4,10,8
TXN,0.41185797967371346,15,7,14
TXN,0.41185797967371346,15,7,16
TXN,0.41223470105599286,10,12,14
TXN,0.41223470105599286,10,12,18
TXN,0.41223470105599286,10,12,2
TXN,0.4122347010559929,10,12,18
TXN,0.41340785569617816,11,1,17
TXN,0.4159306905491301,18,19,15
TXN,0.4159306905491301,18,19,17
TXN,0.4159306905491301,18,19,2
TXN,0.4159306905491301,18,19,7
TXN,0.4159306905491301,18,19,4
TXN,0.4159306905491301,18,19,9
TXN,0.41663108726500797,14,19,6
TXN,0.41962685434513425,16,19,12
TXN,0.42142496899778603,4,10,10
TXN,0.4218579796737134,15,7,8
TXN,0.42185797967371347,15,7,18
TXN,0.42223470105599287,10,12,0
TXN,0.42229893976627836,17,2,14
TXN,0.42229893976627836,17,2,15
TXN,0.42593069054913013,18,19,15
TXN,0.42593069054913013,18,19,6
TXN,0.426631087265008,14,19,15
TXN,0.426631087265008,14,19,10
TXN,0.426631087265008,14,19,10
TXN,0.426631087265008,14,19,4
TXN,0.426631087265008,14,19,9
TXN,0.4271741580577697,2,3,16
TXN,0.4291209841478819,17,0,17
TXN,0.4314249689977861,4,10,14
TXN,0.43223470105599293,10,12,6
TXN,0.43593069054913014,18,19,9
TXN,0.43593069054913014,18,19,3
TXN,0.4359306905491302,18,19,6
TXN,0.43658230024780165,6,13,12
TXN,0.436631087265008,14,19,8
TXN,0.4371741580577697,2,3,10
TXN,0.43962685434513427,16,19,10
TXN,0.44142496899778605,4,10,0
TXN,0.44185797967371343,15,7,8
TXN,0.44185797967371343,15,7,16
TXN,0.44185797967371343,15,7,9
TXN,0.4418579796737135,15,7,14
TXN,0.44223470105599294,10,12,1
TXN,0.4422989397662784,17,2,2
TXN,0.4422989397662784,17,2,12
TXN,0.4422989397662784,17,2,2
TXN,0.44340785569617813,11,1,3
TXN,0.44340785569617813,11,1,3
TXN,0.44340785569617813,11,1,8
TXN,0.44593069054913015,18,19,19
TXN,0.44593069054913015,18,19,17
TXN,0.44658230024780166,6,13,17
TXN,0.4466188791850032,3,2,3
TXN,0.44717415805776967,2,3,8
TXN,0.44717415805776967,2,3,10
TXN,0.45142496899778606,4,10,3
TXN,0.4514249689977861,4,10,2
TXN,0.45185797967371344,15,7,1
TXN,0.45223470105599284,10,12,5
TXN,0.4522347010559929,10,12,3
TXN,0.45229893976627833,17,2,5
TXN,0.4522989397662784,17,2,7
TXN,0.45340785569617814,11,1,9
TXN,0.45340785569617814,11,1,17
TXN,0.4534078556961782,11,1,16
TXN,0.45593069054913016,18,19,10
TXN,0.45593069054913016,18,19,9
TXN,0.45593069054913016,18,19,4
TXN,0.456631087265008,14,19,18
TXN,0.4571741580577697,2,3,12
TXN,0.45717415805776973,2,3,16
TXN,0.4596268543451343,16,19,0
TXN,0.46142496899778607,4,10,13
TXN,0.46142496899778607,4,10,2
TXN,0.4614249689977861,4,10,9
TXN,0.46185797967371345,15,7,7
TXN,0.4622347010559929,10,12,0
TXN,0.46229893976627834,17,2,16
TXN,0.46593069054913017,18,19,11
TXN,0.466631087265008,14,19,5
TXN,0.4671741580577697,2,3,12
TXN,0.4714249689977861,4,10,3
TXN,0.47142496899778613,4,10,2
TXN,0.47185797967371346,15,7,9
TXN,0.47185797967371346,15,7,0
TXN,0.47185797967371346,15,7,10
TXN,0.47223470105599286,10,12,8
TXN,0.4722347010559929,10,12,0
TXN,0.47229893976627835,17,2,9
TXN,0.47340785569617816,11,1,17
TXN,0.47340785569617816,11,1,10
TXN,0.4759306905491301,18,19,7
TXN,0.4765823002478016,6,13,16
TXN,0.47663108726500797,14,19,10
TXN,0.476631087265008,14,19,8
TXN,0.47717415805776964,2,3,16
TXN,0.47717415805776964,2,3,4
TXN,0.47717415805776964,2,3,11
TXN,0.4791209841478819,17,0,8
TXN,0.4796268543451343,16,19,13
TXN,0.4814249689977861,4,10,1
TXN,0.48229893976627836,17,2,16
TXN,0.48229893976627836,17,2,15
TXN,0.48340785569617817,11,1,10
TXN,0.48593069054913013,18,19,6
TXN,0.4859306905491302,18,19,8
TXN,0.4859306905491302,18,19,9
TXN,0.486631087265008,14,19,19
TXN,0.486631087265008,14,19,15
TXN,0.48717415805776965,2,3,8
TXN,0.4871741580577697,2,3,6
TXN,0.4871741580577697,2,3,10
TXN,0.48962685434513425,16,19,6
TXN,0.4896268543451343,16,19,3
TXN,0.4918579796737134,15,7,1
TXN,0.4918579796737134,15,7,8
TXN,0.49229893976627837,17,2,18
TXN,0.49229893976627837,17,2,16
TXN,0.49229893976627837,17,2,1
TXN,0.4934078556961782,11,1,7
TXN,0.496631087265008,14,19,5
TXN,0.496631087265008,14,19,15
TXN,0.496631087265008,14,19,7
TXN,0.49663108726500804,14,19,8
TXN,0.49717415805776966,2,3,4
TXN,0.49962685434513426,16,19,14
TXN,0.49962685434513426,16,19,9
TXN,0.5014249689977861,4,10,13
TXN,0.5014249689977861,4,10,14
TXN,0.5018579796737134,15,7,10
TXN,0.5018579796737135,15,7,16
TXN,0.5022347010559929,10,12,15
TXN,0.5022347010559929,10,12,17
TXN,0.5022347010559929,10,12,17
TXN,0.5022989397662784,17,2,3
TXN,0.5034078556961781,11,1,16
TXN,0.5034078556961782,11,1,12
TXN,0.5034078556961782,11,1,10
TXN,0.5034078556961782,11,1,4
TXN,0.5059306905491301,18,19,11
TXN,0.5059306905491301,18,19,4
TXN,0.5065823002478016,6,13,8
TXN,0.5066310872650079,14,19,15
TXN,0.5066310872650079,14,19,5
TXN,0.506631087265008,14,19,6
TXN,0.5071741580577697,2,3,18
