Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	1.0
Slow Node
High CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
60016e543a722a0e6035a6c553a3cee65996d100d4c28b70a409e9b6e683b167	0	20	{0: 38, 1: 35, 2: 34, 3: 28, 4: 29, 5: 35, 6: 32, 7: 21, 8: 21, 9: 38, 10: 35, 11: 20, 12: 33, 13: 35, 14: 28, 15: 35, 16: 40, 17: 28, 18: 37, 19: 31}
334ff918f347432aa3349fcfc93448716ced23447172ab08e788287f6f94a684	146.61566214195588	1000	{0: 10, 1: 3, 2: 62, 3: 10, 4: 34, 5: 11, 6: 12, 7: 25, 8: 32, 9: 21, 10: 71, 11: 36, 12: 19, 13: 89, 14: 6, 15: 13, 16: 29, 17: 108, 18: 41, 19: 51}
e1d1ad9b2e37ff99b4bd7f5d38aff72c0aae5fb070080080d1b838c2133a34a8	149.2144142031251	106	{0: 62, 1: 49, 2: 84, 3: 69, 4: 110, 5: 36, 6: 2, 7: 65, 8: 7, 9: 6, 10: 31, 11: 2, 12: 33, 13: 23, 14: 12, 15: 22, 16: 32, 17: 16, 18: 2, 19: 20}
1298dbc27cc6d1989189dc6e6fd586efafc825898225f5347be5470d4a1e76e0	317.1700729633437	204	{0: 65, 1: 102, 2: 66, 3: 33, 4: 2, 5: 5, 6: 14, 7: 69, 8: 41, 9: 3, 10: 62, 11: 112, 12: 2, 13: 10, 14: 4, 15: 7, 16: 5, 17: 3, 18: 54, 19: 24}
2ebfe262548036ba91d0304426177fca696d165d9670f287090646637e7c96b3	318.2994989123752	1000	{0: 19, 1: 79, 2: 40, 3: 25, 4: 14, 5: 33, 6: 53, 7: 10, 8: 0, 9: 89, 10: 12, 11: 11, 12: 18, 13: 14, 14: 112, 15: 21, 16: 60, 17: 93, 18: 26, 19: 4}
5e4da6bc1b30cbd9a62f7c08158ce4901a4b73af1d348ec015c7707d71a4706f	348.6425370111481	1000	{0: 1, 1: 16, 2: 56, 3: 14, 4: 91, 5: 60, 6: 4, 7: 19, 8: 157, 9: 47, 10: 5, 11: 76, 12: 20, 13: 58, 14: 37, 15: 72, 16: 11, 17: 31, 18: 7, 19: 1}
121f007c1a278474e8446a8b0b40558b0e273d7ef89903101309ba43facf4ed6	351.80260857765404	365	{0: 150, 1: 39, 2: 26, 3: 57, 4: 6, 5: 17, 6: 78, 7: 66, 8: 0, 9: 7, 10: 77, 11: 5, 12: 45, 13: 20, 14: 8, 15: 1, 16: 11, 17: 57, 18: 6, 19: 7}
cb57da94c3263a341ad8d3e6b67df34f15be71b9ebf7f1678607ca80534857c5	363.73079318925744	743	{0: 139, 1: 44, 2: 101, 3: 0, 4: 31, 5: 35, 6: 27, 7: 8, 8: 103, 9: 24, 10: 26, 11: 33, 12: 1, 13: 28, 14: 28, 15: 2, 16: 15, 17: 11, 18: 3, 19: 24}
86a72d81c207309307c24bedafea2a9b61939ee30706a3bb1b502fc098337d56	363.8354806629341	1000	{0: 13, 1: 24, 2: 12, 3: 1, 4: 63, 5: 68, 6: 157, 7: 155, 8: 29, 9: 22, 10: 54, 11: 42, 12: 0, 13: 19, 14: 9, 15: 12, 16: 2, 17: 7, 18: 67, 19: 77}
21df1c6d69e8182094261d008a200100abb41f0ef085a8a42f5b045528ad3409	364.15348055602686	1000	{0: 58, 1: 22, 2: 7, 3: 66, 4: 1, 5: 43, 6: 53, 7: 105, 8: 69, 9: 8, 10: 12, 11: 29, 12: 1, 13: 141, 14: 18, 15: 13, 16: 8, 17: 10, 18: 32, 19: 37}
fe93403364c55560020c32d2aa1ec75741b481e880385685e6dd6f7570340a38	372.93597631845466	1000	{0: 21, 1: 19, 2: 2, 3: 3, 4: 94, 5: 120, 6: 9, 7: 356, 8: 10, 9: 36, 10: 29, 11: 43, 12: 30, 13: 11, 14: 42, 15: 11, 16: 33, 17: 6, 18: 1, 19: 7}
42913202dba5a40313a7bbfef7e85016519cd20253f99e81ae6e48bbcadca62a	438.39750724972487	1000	{0: 2, 1: 12, 2: 40, 3: 8, 4: 18, 5: 20, 6: 17, 7: 175, 8: 32, 9: 19, 10: 50, 11: 135, 12: 15, 13: 22, 14: 211, 15: 68, 16: 3, 17: 28, 18: 25, 19: 33}
ea903383ec3cb69ffb3de86767957a650d5e8d33097f454dc7662f8ac7c69df8	439.3899138730027	977	{0: 54, 1: 0, 2: 11, 3: 38, 4: 6, 5: 25, 6: 6, 7: 50, 8: 42, 9: 17, 10: 55, 11: 10, 12: 25, 13: 85, 14: 153, 15: 116, 16: 3, 17: 8, 18: 67, 19: 12}
