Event type,Event start time,sender_node,receiver_node,current_node
TXN,0.03206334651140538,9,12,9
TXN,0.05599045070728636,18,5,18
TXN,0.09206334651140538,9,12,18
TXN,0.11599045070728636,18,5,9
TXN,0.12529062079492018,17,12,17
TXN,0.12599045070728637,18,5,2
TXN,0.1490166517362635,7,15,7
TXN,0.159609068019647,19,3,19
TXN,0.16599045070728635,18,5,0
TXN,0.16901665173626348,7,15,19
TXN,0.17206334651140537,9,12,2
TXN,0.18206334651140538,9,12,6
TXN,0.189609068019647,19,3,7
TXN,0.19443171749500698,19,7,19
TXN,0.19750104236345276,16,3,16
TXN,0.20348049285727043,11,3,11
TXN,0.21206334651140538,9,12,0
TXN,0.21206334651140538,9,12,10
TXN,0.21443171749500697,19,7,7
TXN,0.21599045070728637,18,5,8
TXN,0.24599045070728637,18,5,10
TXN,0.2559904507072864,18,5,15
TXN,0.2620633465114054,9,12,8
TXN,0.26355840532586866,4,5,4
TXN,0.26599045070728633,18,5,6
TXN,0.2690166517362635,7,15,15
TXN,0.2820633465114054,9,12,1
TXN,0.2820633465114054,9,12,5
TXN,0.2920633465114054,9,12,16
TXN,0.29355840532586863,4,5,13
TXN,0.3020633465114054,9,12,15
TXN,0.309609068019647,19,3,15
TXN,0.309609068019647,19,3,6
TXN,0.31206334651140544,9,12,14
TXN,0.3190166517362635,7,15,6
TXN,0.3207384233597651,3,17,3
TXN,0.33206334651140534,9,12,19
TXN,0.33206334651140534,9,12,3
TXN,0.33529062079492017,17,12,1
TXN,0.33529062079492017,17,12,19
TXN,0.3359904507072864,18,5,1
TXN,0.3359904507072864,18,5,5
TXN,0.3420633465114054,9,12,3
TXN,0.344431717495007,19,7,6
TXN,0.34599045070728635,18,5,4
TXN,0.3459904507072864,18,5,14
TXN,0.35073842335976513,3,17,5
TXN,0.3550154435602564,14,18,14
TXN,0.3559904507072864,18,5,4
TXN,0.3590166517362635,7,15,14
TXN,0.359609068019647,19,3,14
TXN,0.36206334651140537,9,12,4
TXN,0.36599045070728636,18,5,11
TXN,0.3759904507072863,18,5,13
TXN,0.3759904507072863,18,5,10
TXN,0.37599045070728637,18,5,16
TXN,0.37599045070728637,18,5,3
TXN,0.37599045070728637,18,5,14
TXN,0.3775010423634527,16,3,5
TXN,0.38206334651140533,9,12,7
TXN,0.3820633465114054,9,12,4
TXN,0.3834804928572704,11,3,10
TXN,0.3859904507072864,18,5,7
TXN,0.38901665173626354,7,15,5
TXN,0.389609068019647,19,3,5
TXN,0.39443171749500694,19,7,15
TXN,0.3959904507072864,18,5,13
TXN,0.3990166517362635,7,15,17
TXN,0.3990166517362635,7,15,2
TXN,0.4007384233597651,3,17,14
TXN,0.40206334651140535,9,12,13
TXN,0.4020633465114054,9,12,11
TXN,0.4020633465114054,9,12,3
TXN,0.4020633465114054,9,12,11
TXN,0.40348049285727045,11,3,12
TXN,0.40443171749500695,19,7,17
TXN,0.40443171749500695,19,7,14
TXN,0.4052906207949202,17,12,7
TXN,0.40599045070728634,18,5,3
TXN,0.40599045070728634,18,5,11
TXN,0.4059904507072864,18,5,19
TXN,0.40750104236345275,16,3,14
TXN,0.409609068019647,19,3,17
TXN,0.4120633465114054,9,12,10
TXN,0.4150154435602564,14,18,5
TXN,0.41599045070728635,18,5,19
TXN,0.4175010423634527,16,3,3
TXN,0.41901665173626357,7,15,3
