Event type,Event start time,sender_node,receiver_node,current_node
TXN,0.011303700932538959,19,7,19
TXN,0.08729262573658399,16,7,16
TXN,0.1562856992725553,8,7,8
TXN,0.16297108630604334,7,9,7
TXN,0.17297108630604335,7,9,17
TXN,0.18130586042152746,11,4,11
TXN,0.1843904426641039,12,8,12
TXN,0.18974708879941707,15,14,15
TXN,0.19297108630604334,7,9,3
TXN,0.2090355790555039,5,7,5
TXN,0.23130370093253896,19,7,3
TXN,0.26130370093253896,19,7,7
TXN,0.2629710863060434,7,9,18
TXN,0.27130370093253897,19,7,17
TXN,0.27974708879941707,15,14,3
TXN,0.28297108630604334,7,9,6
TXN,0.28297108630604334,7,9,1
TXN,0.29297108630604335,7,9,15
TXN,0.301303700932539,19,7,6
TXN,0.30297108630604336,7,9,14
TXN,0.30903557905550394,5,7,2
TXN,0.30971744228705544,6,0,6
TXN,0.30974708879941704,15,14,7
TXN,0.31628569927255534,8,7,12
TXN,0.32130370093253896,19,7,17
TXN,0.3229710863060433,7,9,0
TXN,0.3229710863060433,7,9,13
TXN,0.3229710863060433,7,9,12
TXN,0.3229710863060433,7,9,9
TXN,0.32974708879941705,15,14,17
TXN,0.33130370093253897,19,7,15
TXN,0.33903557905550397,5,7,1
TXN,0.33974708879941706,15,14,6
TXN,0.34297108630604334,7,9,14
TXN,0.3443904426641039,12,8,17
TXN,0.3543904426641039,12,8,7
TXN,0.36130370093253894,19,7,18
TXN,0.36130370093253894,19,7,13
TXN,0.36971744228705544,6,0,3
TXN,0.37729262573658395,16,7,10
TXN,0.38130370093253896,19,7,4
TXN,0.3813058604215275,11,4,5
TXN,0.38439044266410394,12,8,3
TXN,0.38439044266410394,12,8,8
TXN,0.38729262573658396,16,7,7
TXN,0.3929710863060433,7,9,2
TXN,0.39729262573658397,16,7,12
TXN,0.39729262573658397,16,7,17
TXN,0.3997174422870554,6,0,7
TXN,0.39974708879941706,15,14,10
TXN,0.4043904426641039,12,8,6
TXN,0.40957072035678105,1,17,1
TXN,0.409747088799417,15,14,18
TXN,0.40974708879941707,15,14,14
TXN,0.40974708879941707,15,14,13
TXN,0.411303700932539,19,7,14
TXN,0.411303700932539,19,7,1
TXN,0.41297108630604334,7,9,19
TXN,0.4143904426641039,12,8,10
TXN,0.417292625736584,16,7,3
TXN,0.41971744228705543,6,0,17
TXN,0.4229710863060434,7,9,6
TXN,0.431303700932539,19,7,9
TXN,0.431303700932539,19,7,0
TXN,0.44130370093253896,19,7,14
TXN,0.44130370093253896,19,7,18
TXN,0.4429710863060433,7,9,1
TXN,0.44439044266410394,12,8,6
TXN,0.45130370093253896,19,7,12
TXN,0.451303700932539,19,7,18
TXN,0.4529710863060433,7,9,10
TXN,0.45329151665434186,18,12,18
TXN,0.4543904426641039,12,8,18
TXN,0.45957072035678104,1,17,2
TXN,0.45971744228705547,6,0,18
TXN,0.45974708879941706,15,14,1
TXN,0.461303700932539,19,7,12
TXN,0.461303700932539,19,7,14
TXN,0.46130370093253903,19,7,1
TXN,0.46297108630604333,7,9,16
TXN,0.4643904426641039,12,8,1
TXN,0.46628569927255537,8,7,17
TXN,0.467292625736584,16,7,6
TXN,0.4697174422870555,6,0,15
TXN,0.46974708879941707,15,14,14
TXN,0.46974708879941707,15,14,12
TXN,0.4713037009325389,19,7,10
TXN,0.471303700932539,19,7,2
TXN,0.4743904426641039,12,8,16
TXN,0.4762856992725554,8,7,7
TXN,0.479035579055504,5,7,17
TXN,0.4797470887994171,15,14,0
TXN,0.48130370093253894,19,7,1
TXN,0.48130586042152745,11,4,2
TXN,0.48297108630604335,7,9,19
TXN,0.4843904426641039,12,8,15
TXN,0.4843904426641039,12,8,14
TXN,0.48729262573658394,16,7,18
TXN,0.48903557905550393,5,7,11
TXN,0.489035579055504,5,7,7
TXN,0.4897174422870554,6,0,18
TXN,0.48974708879941703,15,14,14
TXN,0.48974708879941703,15,14,0
TXN,0.4897470887994171,15,14,9
TXN,0.49130370093253894,19,7,9
TXN,0.49130370093253894,19,7,11
TXN,0.49297108630604336,7,9,10
TXN,0.49297108630604336,7,9,14
TXN,0.49297108630604336,7,9,5
TXN,0.4943904426641039,12,8,9
TXN,0.4943904426641039,12,8,2
TXN,0.49628569927255534,8,7,13
TXN,0.49971744228705545,6,0,13
TXN,0.49974708879941704,15,14,2
TXN,0.4997470887994171,15,14,19
TXN,0.4997470887994171,15,14,10
TXN,0.5029710863060433,7,9,8
TXN,0.5029710863060434,7,9,12
TXN,0.5043904426641039,12,8,2
TXN,0.5062856992725554,8,7,3
TXN,0.507292625736584,16,7,15
TXN,0.5097470887994171,15,14,18
TXN,0.5097470887994171,15,14,1
TXN,0.5113058604215275,11,4,1
TXN,0.5113058604215275,11,4,4
TXN,0.5143904426641039,12,8,13
TXN,0.5143904426641039,12,8,4
TXN,0.5162856992725553,8,7,18
TXN,0.5162856992725553,8,7,10
TXN,0.5190355790555039,5,7,6
TXN,0.519035579055504,5,7,3
