Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	No blocks generated
Fast Node
Low CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
8acd8fcc5e4a53f99ffe540ec6598f34787d019b5c9fb82cf5300559a6c19c6e	175.3805492226419	213	{0: 37, 1: 10, 2: 4, 3: 574, 4: 15, 5: 20, 6: 0, 7: 58, 8: 29, 9: 30, 10: 0, 11: 61, 12: 9, 13: 17, 14: 11, 15: 94, 16: 476, 17: 39, 18: 0, 19: 1}
100162d46f5fd7205d44f1e1d28c2244d314a71e9aa7aa9adc3d5b401331d61e	175.61137718851725	222	{0: 41, 1: 7, 2: 9, 3: 527, 4: 14, 5: 50, 6: 3, 7: 27, 8: 11, 9: 64, 10: 2, 11: 4, 12: 18, 13: 2, 14: 63, 15: 69, 16: 551, 17: 4, 18: 2, 19: 17}
c7c7f084fb8049bd289a8412ed055abe68d85aa8163d495c9a7928ea9399ca95	177.28853214185634	87	{0: 13, 1: 21, 2: 5, 3: 538, 4: 16, 5: 44, 6: 3, 7: 17, 8: 16, 9: 10, 10: 12, 11: 82, 12: 3, 13: 12, 14: 62, 15: 16, 16: 615, 17: 6, 18: 35, 19: 9}
71d09a18e6d493f632a46ff667dd4be31d371da72267ac3ef32cff0d66970df7	201.1976375312088	267	{0: 5, 1: 23, 2: 15, 3: 606, 4: 6, 5: 4, 6: 70, 7: 19, 8: 3, 9: 40, 10: 58, 11: 50, 12: 3, 13: 4, 14: 18, 15: 15, 16: 574, 17: 15, 18: 49, 19: 8}
97b639517f9b636df59ca42dd8db09e30293332e2b8e10849eb93661a161b8f9	243.4093822863939	546	{0: 77, 1: 65, 2: 19, 3: 644, 4: 30, 5: 6, 6: 43, 7: 10, 8: 7, 9: 0, 10: 37, 11: 28, 12: 5, 13: 61, 14: 69, 15: 4, 16: 483, 17: 24, 18: 7, 19: 16}
fc6ea53e785c7184acb7f1078d7f2bdfc1409272454e8ed4f485ad4776b9f907	245.2609617756564	153	{0: 62, 1: 27, 2: 1, 3: 752, 4: 1, 5: 43, 6: 6, 7: 15, 8: 0, 9: 9, 10: 19, 11: 76, 12: 45, 13: 1, 14: 24, 15: 9, 16: 579, 17: 3, 18: 12, 19: 1}
bcaac5b3a37beb25140c003f6100503e731938a462558b53cd94db650a7733ff	246.08467842987014	75	{0: 3, 1: 8, 2: 10, 3: 824, 4: 17, 5: 50, 6: 3, 7: 0, 8: 4, 9: 1, 10: 0, 11: 116, 12: 56, 13: 1, 14: 5, 15: 3, 16: 609, 17: 17, 18: 0, 19: 8}
d256ec0977159dd8d14d2e7b1c80dc83f4ce4a4080456af1bdecdcdfcfd4a84e	250.41083249344985	52	{0: 53, 1: 0, 2: 5, 3: 776, 4: 1, 5: 21, 6: 11, 7: 22, 8: 25, 9: 11, 10: 5, 11: 119, 12: 10, 13: 24, 14: 3, 15: 12, 16: 664, 17: 4, 18: 13, 19: 6}
53f81aa54eabbe1a160201b50586f0aa44e34b5f4eec67e10535195da7b07d1a	309.2528350313428	799	{0: 32, 1: 109, 2: 3, 3: 768, 4: 2, 5: 31, 6: 69, 7: 3, 8: 26, 9: 28, 10: 3, 11: 24, 12: 56, 13: 7, 14: 4, 15: 91, 16: 478, 17: 44, 18: 17, 19: 40}
e42a797b6c7ab5d99b134b9519813868c381c63392b66b606b90262d21274ff0	322.3780017140096	340	{0: 45, 1: 42, 2: 15, 3: 862, 4: 16, 5: 26, 6: 5, 7: 46, 8: 15, 9: 32, 10: 36, 11: 19, 12: 6, 13: 2, 14: 66, 15: 33, 16: 503, 17: 5, 18: 84, 19: 27}
b01962826e925b9305e76086d0744002499ba8969c634a49d5842b5485ade3e5	323.8932514252097	148	{0: 17, 1: 27, 2: 4, 3: 1068, 4: 16, 5: 31, 6: 3, 7: 21, 8: 19, 9: 20, 10: 21, 11: 11, 12: 12, 13: 1, 14: 1, 15: 51, 16: 593, 17: 3, 18: 6, 19: 10}
