Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	1.0
Slow Node
High CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
06f6a1f8a918cf5b8f016f1cf3ad1736812b9e8915c370f77a04246efb5adad8	0	20	{0: 22, 1: 22, 2: 35, 3: 39, 4: 34, 5: 31, 6: 29, 7: 30, 8: 33, 9: 39, 10: 39, 11: 28, 12: 35, 13: 23, 14: 32, 15: 29, 16: 30, 17: 20, 18: 24, 19: 32}
187948a62566cc46f480d5dceed384be20457d25e62d831835f407e0f67e651d	8.95700178207089	123	{0: 12, 1: 35, 2: 1, 3: 8, 4: 95, 5: 23, 6: 26, 7: 33, 8: 21, 9: 36, 10: 36, 11: 10, 12: 34, 13: 68, 14: 3, 15: 92, 16: 85, 17: 16, 18: 3, 19: 19}
d0fa803dacbff53ad172c488415b5e94f50108d1621731f419cbb8fc36208a15	9.277732399737216	13	{0: 72, 1: 0, 2: 72, 3: 18, 4: 40, 5: 4, 6: 8, 7: 8, 8: 33, 9: 39, 10: 50, 11: 70, 12: 1, 13: 9, 14: 10, 15: 18, 16: 33, 17: 47, 18: 59, 19: 65}
ddac4f69ef2a0f94af40f03833615e9b67cc7db96a0ecabe3d48939f7fff253f	93.78547928786593	1000	{0: 31, 1: 35, 2: 9, 3: 21, 4: 18, 5: 49, 6: 56, 7: 19, 8: 32, 9: 17, 10: 37, 11: 45, 12: 60, 13: 5, 14: 0, 15: 26, 16: 54, 17: 5, 18: 34, 19: 153}
90d32ed243d4290221310de064ebc0b0012812e6cba5b2f5b25561143eb3f077	265.4855814444436	1000	{0: 91, 1: 46, 2: 14, 3: 39, 4: 26, 5: 37, 6: 35, 7: 41, 8: 1, 9: 85, 10: 2, 11: 7, 12: 31, 13: 23, 14: 15, 15: 3, 16: 70, 17: 133, 18: 3, 19: 54}
02b33eea10b46188218be8e8cd3abcfda0750034d986ddf5d1652b9367fa74b4	307.08395465354454	1000	{0: 49, 1: 73, 2: 40, 3: 27, 4: 18, 5: 21, 6: 10, 7: 16, 8: 47, 9: 15, 10: 52, 11: 23, 12: 68, 13: 80, 14: 6, 15: 17, 16: 17, 17: 75, 18: 146, 19: 6}
55febceb1b1aef71e8f17d83a577eeefe9677ad351214654ba0a9ad29721ba4b	522.9276109817632	1000	{0: 15, 1: 7, 2: 4, 3: 54, 4: 12, 5: 46, 6: 37, 7: 1, 8: 20, 9: 36, 10: 11, 11: 76, 12: 44, 13: 87, 14: 56, 15: 20, 16: 52, 17: 67, 18: 118, 19: 93}
9d4ac5b679069030ba6fcf0e42530363d02b83cc858ba8aa29da6b1b1bcdef9f	526.081031114538	1000	{0: 39, 1: 32, 2: 20, 3: 95, 4: 26, 5: 40, 6: 48, 7: 8, 8: 19, 9: 3, 10: 0, 11: 70, 12: 4, 13: 143, 14: 25, 15: 2, 16: 28, 17: 120, 18: 116, 19: 68}
233a4723c2d43731a8e442f1d36b4a4095d6364af0c33441e85b71e0b7c2ccbd	537.3792574061123	1000	{0: 16, 1: 157, 2: 84, 3: 19, 4: 32, 5: 52, 6: 31, 7: 41, 8: 54, 9: 17, 10: 39, 11: 16, 12: 36, 13: 42, 14: 50, 15: 38, 16: 5, 17: 162, 18: 56, 19: 9}
214cc1f61d8f87094fe6733d08d9b585656a91efcabf53727d0b8a1ff7d9319a	579.9460740264972	1000	{0: 63, 1: 102, 2: 1, 3: 40, 4: 10, 5: 11, 6: 0, 7: 0, 8: 39, 9: 25, 10: 6, 11: 7, 12: 83, 13: 182, 14: 25, 15: 15, 16: 6, 17: 250, 18: 87, 19: 54}
